,tit0,tit1,coop,coop,tit1,tit0,tit0,def,def,tit1,def,coop,tit1,tit1,tit1,def,tit1,tit0,tit1,tit1,coop,tit0,tit0,def,def,def,tit0,tit0,coop,tit1,def,tit1,def,def,def,def,tit0,coop,tit0,tit0,coop,tit1,coop,tit1,tit0,tit0,coop,def,def,tit1,tit0,tit1,tit0,coop,tit1,coop,tit0,coop,coop,tit0,coop,tit0,def,tit1,tit0,coop,coop,tit0,coop,def,coop,tit1,tit0,tit1,tit1,tit1,coop,tit1,def,coop,tit1,def,def,coop,coop,tit0,def,tit1,def,tit1,def,coop,def,tit0,def,coop,tit0,def,coop,tit0
tit0,0,6,5.4,6.4,6.5,1.9000000000000004,0,0,0,6,0.7000000000000002,6,6.199999999999999,11.6,3.2,1.4000000000000004,6,1.5,6,7.1,5.4,2.9000000000000004,0,0,0,0,0,0,6,4.3,-1.8,6,0.10000000000000009,0,0,0,0,6,0.7000000000000002,0,6,5.199999999999999,6.1,7.0,1.5999999999999996,0,6,0.2999999999999998,0,6,3.2,6,-1.6,6,4.7,5.0,5.1,6,7.9,-0.7999999999999998,6,-0.8999999999999999,0,6,-0.8999999999999999,6,6.9,4.0,6,2.5,6,7.199999999999999,0.7000000000000002,6,4.3,5.800000000000001,5.4,3.3,4.0,6,8.9,-0.20000000000000018,0,6,5.5,-1.0,0,6,-2.2,6,-2.7,6,1.0999999999999996,0,0,6,0.3999999999999999,0,6,2.3
tit1,4.3,0,6,8.4,6.1,7.6,5.4,0,0,0,0,6,8.6,3.8,7.0,1.0,0,0,0,6,7.300000000000001,8.1,0.2999999999999998,0,0,0,0,0,6,6.199999999999999,0.7999999999999998,0,0,0,0,0,0,6,8.0,3.5,6,5.300000000000001,7.199999999999999,4.6,5.699999999999999,2.5999999999999996,6,-2.4,0,0,0,0,0,6,11.0,7.5,6.300000000000001,5.5,7.9,7.0,7.800000000000001,6.300000000000001,3.0999999999999996,0,0,6,7.6,5.300000000000001,5.6,4.2,6,7.9,7.1,0.8999999999999999,6,7.9,4.7,8.6,-2.6,6,4.2,0.20000000000000018,0,6,7.699999999999999,7.4,1.0,0,0,0,0,6,2.5999999999999996,0,0,6,8.0,2.0999999999999996,6,13.600000000000001
coop,6.0,4.7,0,7.800000000000001,4.1,9.1,10.4,1.2000000000000002,4.8,-1.8,-1.3,10.1,9.1,8.9,10.5,3.2,2.0999999999999996,-2.1,1.7999999999999998,2.2,3.3,7.6,8.3,-1.2,-2.1,0.3999999999999999,1.7000000000000002,-0.6000000000000001,7.199999999999999,6.5,-1.2,0.0,1.0,4.2,0.7000000000000002,0.8999999999999999,4.9,6.4,6.199999999999999,8.5,8.9,8.3,7.800000000000001,7.9,6.699999999999999,6.0,9.3,-1.0,3.0,1.2999999999999998,3.7,0.7000000000000002,1.5,4.7,3.0999999999999996,6.5,6.5,4.5,5.800000000000001,6.800000000000001,6.0,8.8,0.3999999999999999,2.7,-1.1,6.199999999999999,10.3,6.1,10.3,1.5999999999999996,7.6,7.4,6.6,6.6,4.2,4.8,11.0,8.4,-1.6,7.699999999999999,12.6,-1.0,-0.7999999999999998,8.6,4.0,10.7,1.2000000000000002,3.5999999999999996,-2.2,3.0,-1.4,5.6,1.2000000000000002,2.3,0.7000000000000002,6.699999999999999,6.199999999999999,0.3999999999999999,5.6,5.699999999999999
coop,7.1,4.9,6.4,0,8.3,3.8,6.699999999999999,1.7999999999999998,2.2,7.5,3.5999999999999996,8.6,8.5,5.5,8.6,0.8999999999999999,6.699999999999999,3.9000000000000004,6.199999999999999,6.9,6.5,6.199999999999999,5.6,2.5,0.0,0.6000000000000001,7.1,4.0,8.5,6.300000000000001,0.7999999999999998,6.300000000000001,-2.6,5.5,4.6,-1.3,7.0,6.199999999999999,6.1,11.2,6.699999999999999,5.1,9.5,7.6,6.5,7.300000000000001,4.4,0.8999999999999999,1.2000000000000002,8.6,5.1,8.2,6.1,5.1,8.1,5.1,6.800000000000001,4.2,9.1,7.699999999999999,7.800000000000001,7.5,0.2999999999999998,9.2,6.199999999999999,8.5,5.9,7.1,4.0,-0.10000000000000009,9.7,7.199999999999999,7.5,6.699999999999999,6.300000000000001,7.9,5.699999999999999,5.199999999999999,2.4000000000000004,6.0,5.5,5.6,3.0999999999999996,6.6,7.199999999999999,7.6,-0.2999999999999998,5.9,2.0,4.7,-2.7,4.1,0.3999999999999999,5.1,0.8999999999999999,9.5,11.0,0.6000000000000001,8.0,6.4
tit1,10.3,7.4,9.7,10.4,0,6.9,6.300000000000001,2.7,0,6,-0.3999999999999999,6,6.300000000000001,6.0,8.6,0.5,6,4.1,7.800000000000001,6.800000000000001,6.300000000000001,8.0,5.800000000000001,3.3,0,0,6,7.800000000000001,6.699999999999999,8.6,-1.0,6,2.2,0,0,0,6,8.9,6.199999999999999,7.9,9.3,3.4000000000000004,9.6,8.4,5.699999999999999,7.5,4.8,0.3999999999999999,0,6,6.800000000000001,3.5,6.5,8.3,6.0,7.6,6.4,6.9,8.6,5.199999999999999,8.9,8.7,2.0999999999999996,6,6.4,7.1,9.1,6.5,8.3,-0.3999999999999999,6,8.4,6.300000000000001,3.4000000000000004,4.4,8.1,7.300000000000001,5.9,2.4000000000000004,6,6.5,3.4000000000000004,0,6,7.300000000000001,12.4,2.0999999999999996,6,3.3,6,3.4000000000000004,6,2.0,6,1.2999999999999998,6,8.4,1.7000000000000002,6,8.3
tit0,6,7.699999999999999,5.300000000000001,8.4,10.2,0,6.4,1.2000000000000002,0,0,0,6,4.2,4.8,8.3,-0.5,0,6,4.1,8.2,6.800000000000001,7.300000000000001,6.0,-1.0,0,0,0,6,4.6,7.199999999999999,-1.9,0,0,0,0,0,0,6,6.4,6.300000000000001,5.800000000000001,5.4,10.3,7.699999999999999,10.7,4.9,6.9,2.5,0,0,6,10.0,7.699999999999999,9.7,6.6,8.4,8.7,8.0,10.6,7.800000000000001,8.7,6.6,3.5999999999999996,0,6,8.6,4.1,6.300000000000001,6.699999999999999,-1.2,6,7.300000000000001,7.1,7.0,3.2,9.9,7.9,3.8,-0.20000000000000018,6,4.4,1.9000000000000004,0,6,6.699999999999999,9.9,2.0999999999999996,0,0,0,0,6,2.9000000000000004,0,0,6,5.300000000000001,1.5999999999999996,6,5.699999999999999
tit0,0,6,7.199999999999999,4.9,7.0,11.9,0,5.0,0,0,0,6,12.5,7.199999999999999,4.5,-0.3999999999999999,0,0,6,6.4,4.3,5.800000000000001,5.4,1.0,0,0,0,0,6,6.300000000000001,1.5,0,0,0,0,0,0,6,4.1,7.1,8.7,7.5,8.6,9.1,8.1,9.2,3.7,2.0999999999999996,0,0,0,6,9.4,3.7,4.4,4.0,10.5,10.2,5.9,6.4,7.0,5.699999999999999,2.2,0,0,6,7.5,6.9,7.4,3.7,6,9.6,6.800000000000001,7.1,7.6,4.3,4.2,7.699999999999999,1.2999999999999998,6,8.5,-2.6,0,6,6.1,7.300000000000001,3.3,0,0,0,0,6,2.8,0,0,6,8.3,-1.2,6,4.7
def,0,0,6,6,6,6,6,0,0,0,0,6,6,6,6,0,0,0,0,6,6,6,6,0,0,0,0,0,6,6,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,0,0,0,6,6,6,6,0,6,6,6,6,6,6,6,6,0,6,6,0,0,6,6,6,0,0,0,0,0,6,0,0,0,6,6,0,6,6
def,0,0,6,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,6,0,6,0,0,0,6,0,0,0,0,0,0,6,0,6,0,6,6,0,6,0,0,0,0,6,6,0,6,0,6,0,0,0,0,0,6,0,0,6,0,0,0,6,6,0,0,0,0,0,0,6,0,0,0,6,0,0,6,0
tit1,0.3999999999999999,0,6,6.6,2.7,0,0,0,0,0,0,6,2.0999999999999996,0,0,0,0,0,0,0,6,6.0,0,0,0,0,0,0,6,-0.8999999999999999,0,0,0,0,0,0,0,6,1.0,0,6,1.7000000000000002,6,3.5,0,0,6,1.5,0,0,0,0,0,6,-1.0,6,-0.3999999999999999,6,7.6,-1.1,6,2.5999999999999996,0,0,0,6,8.3,0.20000000000000018,6,-0.10000000000000009,6,3.0,0,0,0,0,6,-0.6000000000000001,0,6,4.1,0,0,6,9.2,-1.0,0,0,0,0,0,6,0.7999999999999998,0,0,6,-2.0,0,6,0.3999999999999999
def,6,0,6,6,6,0,0,0,0,6,0,6,6,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,6,6,0,6,6,6,6,0,0,6,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,0,0,0,6,6,6,6,0,6,6,0,0,0,0,6,6,0,6,6,0,0,6,6,6,0,0,0,0,0,6,0,0,0,6,6,0,6,6
coop,0.0,2.4000000000000004,9.1,6.9,3.0999999999999996,4.9,3.9000000000000004,-0.8999999999999999,2.3,6.199999999999999,0.8999999999999999,0,-1.7,-2.5,1.5,0.6000000000000001,1.0,-0.6000000000000001,2.5999999999999996,0.6000000000000001,6.0,-0.10000000000000009,2.0999999999999996,4.8,-0.6000000000000001,-0.5,1.7000000000000002,0.10000000000000009,7.800000000000001,4.0,1.2999999999999998,-0.7999999999999998,3.3,-0.2999999999999998,4.1,0.2999999999999998,0.2999999999999998,6.0,-0.5,4.4,3.0999999999999996,4.8,8.7,-1.4,0.8999999999999999,-0.6000000000000001,6.800000000000001,-1.2,0.7000000000000002,3.4000000000000004,0.0,0.20000000000000018,1.5999999999999996,8.4,1.7000000000000002,6.699999999999999,-0.2999999999999998,5.6,8.0,-1.1,3.9000000000000004,1.4000000000000004,-1.4,2.3,0.6000000000000001,7.0,3.5,-2.0,6.800000000000001,0.3999999999999999,6.800000000000001,2.8,2.3,0.6000000000000001,-1.4,3.9000000000000004,6.5,-2.9,3.3,6.199999999999999,0.10000000000000009,0.8999999999999999,-2.1,6.0,6.5,4.9,0.3999999999999999,2.4000000000000004,-1.3,1.9000000000000004,0.6000000000000001,9.5,0.20000000000000018,1.7999999999999998,5.1,5.699999999999999,2.7,1.2000000000000002,3.9000000000000004,2.9000000000000004
tit1,8.5,8.9,11.0,7.1,7.199999999999999,5.5,5.800000000000001,5.1,0,6,-1.6,6,0,5.300000000000001,5.1,-0.20000000000000018,6,5.699999999999999,6.300000000000001,6.800000000000001,6.6,3.4000000000000004,11.6,1.5,0,0,6,8.0,10.4,5.5,0.0,6,-1.1,0,0,0,6,11.1,6.5,6.6,6.5,5.0,8.2,6.9,5.4,6.5,6.300000000000001,1.9000000000000004,0,6,6.4,7.6,9.0,9.6,6.699999999999999,10.4,8.7,9.0,11.7,8.5,7.5,3.8,1.5999999999999996,6,8.5,3.4000000000000004,5.0,3.5999999999999996,6.0,0.8999999999999999,6,8.9,9.6,8.5,7.0,7.199999999999999,5.800000000000001,7.4,4.0,6,6.4,-0.20000000000000018,0,6,7.1,8.2,1.0999999999999996,6,0.10000000000000009,6,-1.4,6,-2.4,6,2.5,6,8.4,-2.6,6,12.0
tit1,4.1,7.800000000000001,6.699999999999999,3.2,5.5,7.300000000000001,5.1,0.10000000000000009,0,0,0,6,5.699999999999999,0,7.4,1.0,0,6,7.199999999999999,6.699999999999999,6.9,6.1,9.9,0.20000000000000018,0,0,0,6,7.800000000000001,6.0,2.8,0,0,0,0,0,0,6,4.9,5.6,7.699999999999999,5.1,3.4000000000000004,10.1,6.9,6.9,6.6,0.8999999999999999,0,0,6,7.5,10.1,3.5,8.8,8.9,11.6,9.1,5.5,4.7,11.0,4.3,-1.1,0,6,5.6,4.1,4.3,10.3,0.7999999999999998,6,6.4,6.5,7.1,7.699999999999999,5.300000000000001,7.9,7.800000000000001,-0.2999999999999998,6,5.800000000000001,-1.0,0,6,8.7,7.4,0.0,0,0,0,0,6,0.2999999999999998,0,0,6,6.9,-0.10000000000000009,6,7.800000000000001
tit1,7.4,4.4,4.3,4.6,7.199999999999999,7.9,5.199999999999999,3.7,0,0,0,6,6.699999999999999,6.1,0,2.2,0,0,6,8.9,9.1,6.199999999999999,9.2,5.800000000000001,0,0,0,0,6,8.4,-0.2999999999999998,0,0,0,0,0,0,6,7.5,5.9,7.800000000000001,7.1,5.800000000000001,7.6,6.6,5.199999999999999,7.199999999999999,-2.7,0,0,0,6,6.699999999999999,7.5,7.9,9.3,3.3,7.699999999999999,6.5,4.6,10.1,4.6,0.2999999999999998,0,0,6,7.800000000000001,6.5,6.800000000000001,3.4000000000000004,6,9.4,6.6,10.0,9.7,7.199999999999999,10.0,9.1,-1.1,6,6.699999999999999,-1.0,0,6,10.7,5.800000000000001,3.8,0,0,0,0,6,1.7999999999999998,0,0,6,7.4,-1.0,6,7.199999999999999
def,6,6,6,6,6,6,6,0,0,0,0,6,6,6,6,0,0,0,0,6,6,6,6,0,0,0,0,0,6,6,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,0,0,0,6,6,6,6,0,6,6,6,6,6,6,6,6,0,6,6,0,0,6,6,6,0,0,0,0,0,6,0,0,0,6,6,0,6,6
tit1,1.2999999999999998,0,6,7.0,0.8999999999999999,0,0,0,0,0,0,6,-0.7999999999999998,0,0,0,0,0,0,0,6,2.9000000000000004,0,0,0,0,0,0,6,0.10000000000000009,0,0,0,0,0,0,0,6,-1.1,0,6,-2.4,6,2.8,0,0,6,-0.20000000000000018,0,0,0,0,0,6,3.2,6,2.0999999999999996,6,3.2,2.5999999999999996,6,1.0999999999999996,0,0,0,6,3.5,2.0,6,2.4000000000000004,6,2.2,0,0,0,0,6,-2.0,0,6,-0.6000000000000001,0,0,6,9.1,2.4000000000000004,0,0,0,0,0,6,2.7,0,0,6,-1.4,0,6,-1.2
tit0,6,2.7,6,8.7,7.699999999999999,1.0,0,0,0,0,0,6,7.4,1.2000000000000002,0,0,6,0,3.0,0,6,4.5,-2.3,0,0,0,0,0,6,6.199999999999999,0.7999999999999998,0,0,0,0,0,0,6,3.0,-2.9,6,3.5,7.5,7.5,3.5999999999999996,0,6,1.2000000000000002,0,0,0,0,0,6,8.3,6.4,7.699999999999999,6.9,4.5,5.800000000000001,6.5,7.6,1.7999999999999998,0,0,6,6.699999999999999,6.800000000000001,11.5,2.0,6,5.6,1.9000000000000004,0,0,0,6,5.9,1.0,6,10.1,1.0999999999999996,0,6,6.9,6.6,0.6000000000000001,0,0,0,0,6,-0.2999999999999998,0,0,6,7.199999999999999,-1.0,6,7.1
tit1,-2.0,6,9.8,6.9,4.1,5.9,0.20000000000000018,0,0,0,0,6,6.4,8.5,-0.5,0,0,6,0,4.8,6,7.4,3.3,3.4000000000000004,0,0,0,0,6,6.300000000000001,-2.0,0,0,0,0,0,0,6,6.9,6.800000000000001,6.6,3.3,7.800000000000001,10.6,6.800000000000001,0.5,6,-2.6,0,0,0,0,0,6,8.4,9.3,6.4,6.9,9.5,6.199999999999999,8.5,6.800000000000001,0.5,0,0,6,5.300000000000001,6.699999999999999,7.4,-1.3,6,8.8,6.699999999999999,1.4000000000000004,0,0,6,4.3,4.7,6,9.0,3.0,0,6,6.699999999999999,7.6,1.0,0,0,0,0,6,0.6000000000000001,0,0,6,10.6,2.2,6,4.6
tit1,8.5,-2.2,6,3.2,8.7,4.8,7.699999999999999,-0.8999999999999999,0,0,0,6,6.199999999999999,5.4,5.300000000000001,4.4,0,0,6,0,7.9,5.6,5.800000000000001,2.3,0,0,0,0,6,7.699999999999999,2.5,0,0,0,0,0,0,6,6.0,8.2,7.0,6.1,6.6,6.199999999999999,6.9,7.6,6.5,1.7999999999999998,0,0,0,0,0,6,5.699999999999999,12.7,8.0,8.6,8.4,4.7,7.6,8.4,0.6000000000000001,0,0,6,7.4,4.5,6.199999999999999,-2.6,6,7.6,7.5,5.1,1.7999999999999998,0,6,6.0,-1.0,6,7.1,4.0,0,6,7.300000000000001,5.6,-0.10000000000000009,0,0,0,0,6,-0.7000000000000002,0,0,6,4.4,2.4000000000000004,6,5.9
coop,7.9,7.9,11.9,6.9,8.5,6.699999999999999,6.800000000000001,3.4000000000000004,0.0,1.9000000000000004,-1.5,9.1,7.4,5.5,7.4,1.4000000000000004,-0.2999999999999998,-1.9,0.6000000000000001,11.4,0,6.699999999999999,4.4,-0.7000000000000002,0.8999999999999999,0.7999999999999998,-0.3999999999999999,3.2,8.1,4.6,1.0,2.8,0.0,1.0999999999999996,4.0,-1.7,1.5999999999999996,5.699999999999999,6.6,9.3,8.0,6.699999999999999,7.6,4.7,5.9,9.7,8.3,-0.8999999999999999,3.0999999999999996,1.7000000000000002,-1.0,3.4000000000000004,7.300000000000001,7.300000000000001,5.199999999999999,7.800000000000001,3.3,8.1,8.1,8.6,8.9,5.300000000000001,-1.0,0.6000000000000001,-0.20000000000000018,5.5,8.0,6.199999999999999,8.1,0.0,9.2,9.5,4.9,6.300000000000001,10.8,0.10000000000000009,5.800000000000001,10.7,-0.6000000000000001,7.1,8.1,-2.0,1.2000000000000002,8.4,3.8,7.6,2.3,1.5,-0.7000000000000002,-0.7000000000000002,0.10000000000000009,6.300000000000001,0.7000000000000002,-0.2999999999999998,-2.6,3.5999999999999996,7.4,-0.20000000000000018,7.0,5.9
tit0,6,5.9,7.6,3.8,5.9,9.8,8.3,0.0,0,6,1.0,6,5.0,11.1,7.800000000000001,1.7000000000000002,6,5.1,7.199999999999999,7.300000000000001,9.3,0,10.0,2.0999999999999996,0,0,6,6.199999999999999,8.9,3.9000000000000004,3.5999999999999996,6,3.3,0,0,0,6,5.300000000000001,4.5,5.5,7.4,8.3,3.5,8.0,7.699999999999999,7.800000000000001,5.4,-1.2,0,6,4.2,7.4,10.4,7.300000000000001,5.6,7.199999999999999,6.199999999999999,6.6,7.300000000000001,10.4,7.300000000000001,4.3,1.4000000000000004,6,12.0,7.199999999999999,6.9,3.8,5.199999999999999,1.7999999999999998,6,6.300000000000001,4.1,5.800000000000001,7.5,6.199999999999999,5.9,6.5,2.4000000000000004,6,5.5,1.2999999999999998,0,6,7.5,6.699999999999999,2.4000000000000004,6,2.0999999999999996,6,2.2,6,2.0,6,0.3999999999999999,6,7.1,-0.10000000000000009,6,10.4
tit0,0,6,5.0,5.9,3.5,8.5,6.9,0.20000000000000018,0,0,0,6,3.7,7.4,7.6,-2.4,0,6,8.1,7.1,8.2,10.8,0,-2.1,0,0,0,6,7.9,5.9,-2.6,0,0,0,0,0,0,6,5.0,5.800000000000001,6.4,7.199999999999999,6.9,4.3,6.0,3.9000000000000004,5.0,1.4000000000000004,0,0,6,5.699999999999999,6.0,7.1,9.1,6.5,5.5,7.0,7.1,6.6,6.300000000000001,5.699999999999999,5.9,0,6,10.9,6.5,4.8,8.9,1.5,6,8.4,8.7,4.0,9.5,7.699999999999999,7.300000000000001,8.0,1.7000000000000002,6,9.5,-2.0,0,6,7.300000000000001,5.6,0.5,0,0,0,0,6,-2.4,0,0,6,9.8,3.0,6,7.300000000000001
def,0,0,6,6,6,6,6,0,0,0,0,6,6,6,6,0,0,0,6,6,6,6,6,0,0,0,0,0,6,6,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,0,0,0,6,6,6,6,0,6,6,6,6,6,6,6,6,0,6,6,0,0,6,6,6,0,0,0,0,0,6,0,0,0,6,6,0,6,6
def,0,0,6,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,6,0,6,0,0,0,6,0,0,0,0,0,0,6,0,6,0,6,6,0,6,0,0,0,0,6,6,0,6,0,6,0,0,0,0,0,6,0,0,6,0,0,0,6,6,0,0,0,0,0,0,6,0,0,0,6,0,0,6,0
def,0,0,6,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,6,0,6,0,0,0,6,0,0,0,0,0,0,6,0,6,0,6,6,0,6,0,0,0,0,6,6,0,6,0,6,0,0,0,0,0,6,0,0,6,0,0,0,6,6,0,0,0,0,0,0,6,0,0,0,6,0,0,6,0
